title,price,link,code_moteur,brand,brand_html,description,index,reference
Turbocompresseur IHI VF50,343 € TTC,https://www.autonorma.fr/p/26154-turbocompresseur-ihi-vf50,EE20Z,SUBARU         FORESTER           FORESTER           IMPREZA III Hatchback           LEGACY IV Kombi           LEGACY IV Sedan           LEGACY V           LEGACY V Kombi           XV,,"Turbocompresseur IHI VF50 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",20,vf50
Turbocompresseur GARRETT 830323-5003S,433 € TTC,https://www.autonorma.fr/p/29397-turbocompresseur-garrett-830323-5003s,"CXFA,CXGC,CXHA,CXHB,DASA,DASB,DAUA,DAUB",MAN         TGE Box           TGE Bus           TGE Platform/Chassis,,"Turbocompresseur GARRETT 830323-5003S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",21,830323-5003s
Turbocompresseur KKK 53049880057,260 € TTC,https://www.autonorma.fr/p/26163-turbocompresseur-kkk-53049880057,"OM 646.986,OM 646.989,OM 646.990","MERCEDES-BENZ         SPRINTER 3,5 Valník           SPRINTER 3,5-T Minibus           SPRINTER 3,5-T VAN           SPRINTER 3-T Valník           SPRINTER 3-T Minibus           SPRINTER 3-T VAN           SPRINTER 4,6-t Box           SPRINTER 4,6-t Platform/Chassis           SPRINTER 5-T Valník           SPRINTER 5-T VAN",,"Turbocompresseur KKK 53049880057 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",22,53049880057
Turbocompresseur KKK 53269700001,584 € TTC,https://www.autonorma.fr/p/26389-turbocompresseur-kkk-53269700001,M57 D30 (306D5),BMW         3 Touring           3 Kupé           3 Sedan           5 Kombi           5 Sedan           6 Kabriolet           6 Kupé           X3           X5           X6,,"Turbocompresseur KKK 53269700001 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",23,53269700001
Turbocompresseur GARRETT 757886-5005S,253 € TTC,https://www.autonorma.fr/p/26428-turbocompresseur-garrett-757886-5005s,"D4EA,D4EA-F",HYUNDAI         SONATA V           i30 Kombi           i30 Hatchback,,"Turbocompresseur GARRETT 757886-5005S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",24,757886-5005s
Turbocompresseur GARRETT 821943-5003S,430 € TTC,https://www.autonorma.fr/p/28546-turbocompresseur-garrett-821943-5003s,"R9M 408,R9M 413,R9M 450,R9M 452,R9M 453",FIAT         TALENTO Box           TALENTO Bus           TALENTO Platform/Chassis,,"Turbocompresseur GARRETT 821943-5003S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",25,821943-5003s
Turbocompresseur GARRETT 789016-5002S,377 € TTC,https://www.autonorma.fr/p/29292-turbocompresseur-garrett-789016-5002s,CFWA,SEAT         IBIZA V Hatchback           IBIZA V SPORTKupé           IBIZA IV ST           IBIZA SPORTKupé Box Body / Hatchback,,"Turbocompresseur GARRETT 789016-5002S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",26,789016-5002s
Turbocompresseur GARRETT 790179-5002S,611 € TTC,https://www.autonorma.fr/p/28515-turbocompresseur-garrett-790179-5002s,"M9T 670,M9T 672,M9T 676,M9T 678,M9T 680,M9T 686,M9T 690,M9T 692,M9T 694,M9T 696,M9T 698,M9T 706,M9T 870,M9T 876,M9T 880,M9T 890,M9T 896,M9T 898",NISSAN         NV400 Box           NV400 Bus           NV400 Platform/Chassis,,"Turbocompresseur GARRETT 790179-5002S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",27,790179-5002s
Turbocompresseur GARRETT 733783-5007S,306 € TTC,https://www.autonorma.fr/p/26431-turbocompresseur-garrett-733783-5007s,"AMF,BAY,BHC,BMS,BNM,BNV,BWB",AUDI         A2 Hatchback,,"Turbocompresseur GARRETT 733783-5007S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",28,733783-5007s
Turbocompresseur GARRETT 03L145721B,410 € TTC,https://www.autonorma.fr/p/29368-turbocompresseur-garrett-03l145721b,"CAHA,CAHB,CGLB,CGLC,CGLD,CMGA,CMGB,CNHC",AUDI         A4 B8 Allroad           A4 B8 Avant/Kombi           A4 B8 Sedan           A5 Kupé           A5 Kabriolet           A5 Sportback           A6 C7           A6 C7 Avant           Q5,,"Turbocompresseur GARRETT 03L145721B d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",29,03l145721b
Turbocompresseur GARRETT 454205-5006S,301 € TTC,https://www.autonorma.fr/p/26098-turbocompresseur-garrett-454205-5006s,"ANJ,AVR",VW         LT II Valník           LT II Minibus           LT II VAN,,"Turbocompresseur GARRETT 454205-5006S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",30,454205-5006s
Turbocompresseur IHI VF50,343 € TTC,https://www.autonorma.fr/p/26154-turbocompresseur-ihi-vf50,EE20Z,SUBARU         FORESTER           FORESTER           IMPREZA III Hatchback           LEGACY IV Kombi           LEGACY IV Sedan           LEGACY V           LEGACY V Kombi           XV,,"Turbocompresseur IHI VF50 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",31,vf50
